    33,   237,                 713
    33,   236,              502223
    33,   215,               21480
    33,   225,              114307
    33,   222,               44263
    33,   220,                   6
    33,   217,               13175
    33,   216,               78738
    33,   211,               13791
    33,   206,              221504
    33,    38,              574750
    33,   203,               16326
    33,   202,              103499
    33,   195,               18565
    33,   194,              347178
    33,   117,              489130
    33,   174,               12337
    33,   171,              201745
    33,   170,              445665
    33,   221,               12209
    33,   162,                  96
    33,   159,              115836
    33,   156,                 837
    33,   150,               18937
    33,   147,                4640
    33,   144,                8592
    33,   143,              303389
    33,   141,                  15
    33,   138,              499425
    33,   131,               77513
    33,   110,              620133
    33,   109,              105626
    33,   106,              615245
    33,   103,              383932
    33,   101,              420774
    33,    91,               27010
    33,    81,              194676
    33,    59,              144352
    33,    58,              213472
    33,    56,               10560
    33,    49,              124967
    33,   107,                9166
    33,    48,               25334
    33,    44,              297800
    33,   351,              179074
    33,    40,               93752
    33,    32,               40571
    33,    21,              215451
    33,   255,              131702
    33,    16,              646750
    33,     4,              287456
   231,   249,              240388
   231,   237,               35574
   231,   236,              391496
   231,   215,               18087
   231,   225,               33922
   231,   226,               12842
   231,   223,              113312
   231,   222,               67688
   231,   220,               81128
   231,   216,              267608
   231,   211,                  10
   231,   207,                1264
   231,    38,               34182
   231,   203,              142695
   231,   202,              239880
   231,   197,                5440
   231,   194,               61889
   231,   191,               18309
   231,   117,              903858
   231,   174,               42076
   231,   171,             1018410
   231,   170,              472877
   231,   166,               77224
   231,   165,                5850
   231,   221,               36435
   231,   159,             2007308
   231,   157,               68360
   231,   150,                4358
   231,   147,                4436
   231,    28,                1450
   231,   144,               85909
   231,   143,              269703
   231,   138,             1450265
   231,   136,                7932
   231,   133,                1478
   231,   131,               76572
   231,   130,               12717
   231,   123,                8062
   231,   121,               30315
   231,   114,               15231
   231,   112,               30262
   231,   110,             1875005
   231,   109,              105099
   231,   106,              294339
   231,   105,              121444
   231,   103,              272174
   231,   101,              333716
   231,    95,              101359
   231,    91,                  30
   231,    90,                4436
   231,    89,              280697
   231,    86,               11381
   231,   238,              266850
   231,    60,              138352
   231,    59,              924556
   231,    58,               79609
   231,    56,              327782
   231,    72,               32534
   231,   116,                4078
   231,    49,               48801
   231,    48,              144444
   231,    46,                4436
   231,    44,              413326
   231,   351,              607588
   231,    40,              308711
   231,    39,                1815
   231,    32,                4140
   231,    21,              285510
   231,    23,               11644
   231,   255,               72391
   231,    14,                9824
   231,    16,               64884
   231,     4,              125366
   231,     2,               27233
